account_id	platform	account_name	platform_account_id	username_or_channel	primary_language	fallback_language	timezone	enabled	allowed_formats	caption_style	hashtag_set	cta_rule	posting_window	min_gap_minutes	product_tagging	catalog_or_store_id	credential_property_key	approval_required	notes
FB-LTD	Facebook	Colour diam limited	1377805045625666	colour_diamondss	en-GB	en-GB	Asia/Bangkok	Yes	Image Post, Carousel, Facebook Reel	Corporate luxury; polished	Luxury + brand + product tags	Shop/enquire CTA	10:00-20:00 local	180	Yes		META_TOKEN_FB_LTD	Yes	Connected Instagram below
FB-CD	Facebook	Colour Diam	1569245349994976	colourdiamonds	en-GB	en-GB	Asia/Bangkok	Yes	Image Post, Carousel, Facebook Reel	Flagship international luxury	Core brand + product-specific tags	Shop link/DM	10:00-21:00 local	180	Yes		META_TOKEN_FB_CD	Yes	Connected Instagram below
FB-NFCD	Facebook	Nfcd	628180094046403		en-GB	en-GB	Asia/Bangkok	Yes	Image Post, Carousel, Facebook Reel	Brand-neutral luxury	Natural fancy colour diamond tags	Enquire/DM CTA	10:00-20:00 local	240	Yes		META_TOKEN_FB_NFCD	Yes	Confirm exact market/language
IG-BKK	Instagram	Colour Diam Bangkok	17841445243076913	colourdiambangkok	th-TH	en-GB	Asia/Bangkok	Yes	Image Post, Carousel, Instagram Reel	Thai-first; visual; concise	Thai + product + discovery tags	Link in bio/DM	11:00-21:00 local	180	Yes		META_TOKEN_IG_BKK	Yes	Instagram Business ID verified via Meta API
IG-TREND	Instagram	Trending Jewel	17841408817817253	trendingjewel	en-GB	en-GB	Asia/Bangkok	Yes	Image Post, Carousel, Instagram Reel	Trend-led; hook-first	Trending + product discovery tags	Follow/DM	11:00-22:00 local	150	Yes		META_TOKEN_IG_TREND	Yes	Instagram Business ID verified via Meta API
IG-LTD	Instagram	Colour Diam Limited	17841427216186284	colour_diamondss	en-GB	en-GB	Asia/Bangkok	Yes	Image Post, Carousel, Instagram Reel	Polished luxury	Luxury + brand + product tags	Link in bio/enquire	10:00-20:00 local	180	Yes		META_TOKEN_IG_LTD	Yes	Instagram Business ID verified via Meta API
IG-CD	Instagram	Colour Diam	17841401829934148	colourdiamonds	en-GB	en-GB	Asia/Bangkok	Yes	Image Post, Carousel, Instagram Reel	Flagship international; editorial	Core brand + product tags	Link in bio/DM	10:00-21:00 local	180	Yes		META_TOKEN_IG_CD	Yes	Instagram Business ID verified via Meta API
YT-CD	YouTube	Colour Diam YouTube	UCTWbcY-YtvAx2QUZKXt230A	colourdiamondss	en-GB	en-GB	Asia/Bangkok	Yes	YouTube Video, YouTube Short	Search-friendly luxury education	YouTube keywords; 3-5 hashtags	Product link in description	12:00-21:00 local	360	No		YOUTUBE_OAUTH_REFRESH_TOKEN	Yes	Add channel ID and enable after OAuth connection
YT-JIYA	YouTube	jiyasdelight youtube	UCDFzWfIRvLu1LXq3mQrkj6Q	jiyasdelight	en-GB	en-GB	Asia/Bangkok	Yes	YouTube Video, YouTube Short	Search-friendly luxury education	YouTube keywords; 3-5 hashtags	Product link in description	12:00-21:00 local	360	No		YOUTUBE_OAUTH_REFRESH_TOKEN	Yes	Add channel ID and enable after OAuth connection
IG-JPN	Instagram	Colour Diam Japan	1276335835559372	colourdiamjapan	ja-JP	en-GB	Asia/Tokyo	Yes	Image Post, Carousel, Instagram Reel	Natural Japanese; elegant; concise	Japan jewellery + product-specific tags	Website link; polite CTA	10:00-21:00 local	180	Yes		META_TOKEN_IG_JPN	Yes	No linked Instagram Business Account returned by Meta API
IG-MMR	Instagram	Colour Diam Myanmar	1145335788665644	colourdiamburma	my-MM	en-GB	Asia/Yangon	No	Image Post, Carousel, Instagram Reel	Burmese-first; accessible luxury	Myanmar jewellery + Burmese tags	DM for details	10:00-20:00 local	180	Yes		META_TOKEN_IG_MMR	Yes	No linked Instagram Business Account returned by Meta API
IG-PH	Instagram	Colour Diam Philippines	1284846958038803	colourdiamph	fil-PH	en-GB	Asia/Manila	No	Image Post, Carousel, Instagram Reel	Filipino/English; warm sales tone	Philippines jewellery + luxury tags	DM for consultation	10:00-21:00 local	150	Yes		META_TOKEN_IG_PH	Yes	No linked Instagram Business Account returned by Meta API
IG-INDO	Instagram	Colour Diam Indonesia	17841438696707090	colourdiamindo	en-GB	en-GB	Asia/Jakarta	Yes	Image Post, Carousel, Instagram Reel	International luxury; accessible	Indonesia + product-specific tags	DM for consultation	10:00-21:00 local	180	No		META_TOKEN_IG_INDO	Yes	Instagram Business ID verified via Meta API
IG-RUS	Instagram	Colour Diam Russia	17841442176026397	colourdiamrussia	ru-RU	en-GB	Europe/Moscow	Yes	Image Post, Carousel, Instagram Reel	Natural Russian; collector-focused	Russia luxury + diamond tags	DM or shop link	10:00-20:00 local	180	Yes		META_TOKEN_IG_RUS	Yes	Instagram Business ID verified via Meta API
IG-KOR	Instagram	Colour Diam Korea	17841441538614378	colourdiamkorea	ko-KR	en-GB	Asia/Seoul	Yes	Image Post, Carousel, Instagram Reel	Natural Korean; premium; concise	Korea jewellery + product-specific tags	Website/DM CTA	10:00-21:00 local	180	Yes		META_TOKEN_IG_KOR	Yes	Instagram Business ID verified via Meta API
FB-INDO	Facebook	Colour Diam Indonesia	1363808250142477	colourdiamindo	en-GB	en-GB	Asia/Jakarta	Yes	Image Post, Carousel, Facebook Reel	International luxury; accessible	Indonesia + product-specific tags	DM for consultation	10:00-21:00 local	180	Yes		META_TOKEN_FB_INDO	Yes	Facebook Page ID verified via Meta API
LINE-CD	LINE	Colour Diam LINE		colourdiam	en-GB	en-GB	Asia/Bangkok	Yes	Image Post, Carousel, Video Message	International luxury; concise	Product-specific tags	Visit shop	10:00-21:00 local	180	No		META_TOKEN_LINE_CD	No	LINE Messaging API enabled. Token: LINE_CHANNEL_ACCESS_TOKEN or META_TOKEN_LINE_CD.
WECHAT-CD	WeChat	Colour Diam WeChat			zh-CN	en-GB	Asia/Shanghai	No	Image Post, Carousel, Video, Article	Chinese-first; premium; concise	WeChat product-specific tags	Visit shop link	10:00-21:00 local	180	No		META_TOKEN_WECHAT_CD	Yes	WeChat Official Account (公众号); credential value = APPID:SECRET
PINTEREST-CD	Pinterest	Colour Diam Pinterest			en-GB	en-GB	Asia/Bangkok	Yes	Image Post, Carousel, Video Pin	International luxury; visual	Jewellery + diamond tags	Pin link to shop	10:00-21:00 local	180	Yes		META_TOKEN_PINTEREST_CD	No	Pinterest API v5 token; platform_account_id = board ID
TWITCH-CD	Twitch	Colour Diam Twitch		colourdiam	en-GB	en-GB	Asia/Bangkok	No	Video, Live Broadcast	International luxury; concise	Product-specific tags	VOD/channel link	10:00-21:00 local	180	No		META_TOKEN_TWITCH_CD	No	Twitch stream key; video broadcast via RTMP -> VOD
SHOPEE-CD	Shopee	Colour Diam Shopee		colourdiam	en-GB	en-GB	Asia/Bangkok	No	Image Post, Carousel	International luxury; concise	Product-specific tags	Shop link	10:00-21:00 local	180	No		META_TOKEN_SHOPEE_CD	No	Shopee Open Platform app (TH); media hosted via product/upload_img
LAZADA-CD	Lazada	Colour Diam Lazada		colourdiam	en-GB	en-GB	Asia/Bangkok	No	Image Post, Carousel	International luxury; concise	Product-specific tags	Shop link	10:00-21:00 local	180	No		META_TOKEN_LAZADA_CD	No	Lazada Open Platform app (TH); media migrated via image/migrate
